"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"24","Mexico should move the flag waving Migrants, many of whom are stone cold criminals, back to their countries. Do it… https://t.co/IqgnrBTQFl",FALSE,171256,NA,2018-11-26 11:19:41,TRUE,NA,"1067015026995879937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",45128,FALSE,FALSE,NA,NA
"25","....children from parents, as did Bush etc., because that is the policy and law. I tried to keep them together but… https://t.co/Uh5gzYxGyY",FALSE,113076,NA,2018-11-26 02:07:27,TRUE,NA,"1066876053170339840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28133,FALSE,FALSE,NA,NA
"26",".@60Minutes did a phony story about child separation when they know we had the exact same policy as the Obama Admin… https://t.co/7I3I4zpJvC",FALSE,102528,NA,2018-11-26 01:59:13,TRUE,NA,"1066873981293260801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29683,FALSE,FALSE,NA,NA
"27","Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their… https://t.co/ezPedNXAiV",FALSE,120151,NA,2018-11-25 20:39:26,TRUE,NA,"1066793504804913152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",36524,FALSE,FALSE,NA,NA
"28","Europe has to pay their fair share for Military Protection. The European Union, for many years, has taken advantage… https://t.co/BCzK1aitdo",FALSE,87141,NA,2018-11-25 20:27:34,TRUE,NA,"1066790517944606721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21461,FALSE,FALSE,NA,NA
"29","General Anthony Tata: “President Trump is a man of his word &amp; he said he was going to be tough on the Border, and h… https://t.co/dEg3NQZM8j",FALSE,83616,NA,2018-11-25 20:20:36,TRUE,NA,"1066788767133040640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21363,FALSE,FALSE,NA,NA
"30","Mississippi, Vote for @cindyhydesmith on Tuesday. Respected by all. We need her in Washington!. Thanks!",FALSE,57007,NA,2018-11-25 20:13:00,FALSE,NA,"1066786854643662848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14816,FALSE,FALSE,NA,NA
"31","So great that oil prices are falling (thank you President T). Add that, which is like a big Tax Cut, to our other g… https://t.co/uPIYY5MiqB",FALSE,110609,NA,2018-11-25 13:46:54,TRUE,NA,"1066689688600281088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23204,FALSE,FALSE,NA,NA
"32","Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border, or if originatin… https://t.co/bAZjE2kSDE",FALSE,127716,NA,2018-11-25 13:28:30,TRUE,NA,"1066685057648214018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30784,FALSE,FALSE,NA,NA
"33","The large and violent French protests don’t take into account how badly the United States has been treated on Trade… https://t.co/PTKYb1tZDX",FALSE,75624,NA,2018-11-25 13:16:56,TRUE,NA,"1066682146683846657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17879,FALSE,FALSE,NA,NA
"34","I will be in Gulfport and Tupelo, Mississippi, on Monday night doing two Rallies for Senator Hyde-Smith, who has a… https://t.co/DD7Am2nSiZ",FALSE,75241,NA,2018-11-25 12:30:51,TRUE,NA,"1066670550708301824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18805,FALSE,FALSE,NA,NA
"35","Victor Davis Hanson was a very good and interesting guest of Mark Levin on @FoxNews. He wrote a highly touted book… https://t.co/dWs5lHPuNl",FALSE,60245,NA,2018-11-25 12:12:34,TRUE,NA,"1066665948193669120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14413,FALSE,FALSE,NA,NA
"36","....All will stay in Mexico. If for any reason it becomes necessary, we will CLOSE our Southern Border. There is no… https://t.co/1SscdAbmV9",FALSE,144603,NA,2018-11-24 23:56:27,TRUE,NA,"1066480700046655488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34444,FALSE,FALSE,NA,NA
"37","Migrants at the Southern Border will not be allowed into the United States until their claims are individually appr… https://t.co/1rhhYBhKvM",FALSE,165491,NA,2018-11-24 23:49:25,TRUE,NA,"1066478927143677952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",38153,FALSE,FALSE,NA,NA
"38","I am extremely happy and proud of the job being done by @USTreasury Secretary @StevenMnuchin1. The FAKE NEWS likes… https://t.co/4TGOCHo1Qh",FALSE,90258,NA,2018-11-23 23:48:19,TRUE,NA,"1066116263649382400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20344,FALSE,FALSE,NA,NA
"39","Really good Criminal Justice Reform has a true shot at major bipartisan support. @senatemajldr Mitch McConnell and… https://t.co/dH4xiXzvaO",FALSE,74014,NA,2018-11-23 17:14:19,TRUE,NA,"1066017112425185280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17307,FALSE,FALSE,NA,NA
"40","Republicans and Democrats MUST come together, finally, with a major Border Security package, which will include fun… https://t.co/z2sbDnYhJ5",FALSE,162607,NA,2018-11-23 12:41:50,TRUE,NA,"1065948536498544640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",38009,FALSE,FALSE,NA,NA
"41","Our highly trained security professionals are not allowed to do their job on the Border because of the Judicial Act… https://t.co/ro2GDIdi99",FALSE,116570,NA,2018-11-22 23:07:44,TRUE,NA,"1065743662464802817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28162,FALSE,FALSE,NA,NA
"42","This is the coldest weather in the history of the Thanksgiving Day Parade in NYC, and one of the coldest Thanksgivings on record!",FALSE,90627,NA,2018-11-22 21:26:12,FALSE,NA,"1065718109624066049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15940,FALSE,FALSE,NA,NA
"43","https://t.co/y4chCfEDke",FALSE,85088,NA,2018-11-22 15:12:12,FALSE,NA,"1065623990746710022",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22221,FALSE,FALSE,NA,NA
"44","Will be speaking with our great military in different parts of the world, through teleconference, at 9:00 A.M. East… https://t.co/SaA6wsJqsN",FALSE,84283,NA,2018-11-22 13:42:29,TRUE,NA,"1065601413189984256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16787,FALSE,FALSE,NA,NA
"45","....and Safety at the Border, or anywhere else. They know nothing about it and are making our Country unsafe. Our g… https://t.co/LJNXwcDdkj",FALSE,97120,NA,2018-11-22 12:30:27,TRUE,NA,"1065583286188158976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23540,FALSE,FALSE,NA,NA
